2026-04-10 11:20:15 | 128.81 REAL
2026-04-10 11:22:24 | 46.58 X
2026-04-10 11:24:40 | 126.77 X
2026-04-10 11:35:29 | 317.72 Mukasa

2026-04-10 11:37:47 | 77.62 REAL
2026-04-10 11:47:30 | 507.78 Henry
2026-04-10 11:52:35 | 164.95 Ian
2026-04-10 11:55:22 | 160.43 Ryan
2026-04-10 12:12:36 | 232.76
2026-04-10 12:16:14 | 213.30 Samuel
2026-04-10 12:21:36 | 305.35
2026-04-10 12:30:54 | 315.01
2026-04-10 13:00:05 | 126.53
2026-04-10 13:13:44 | 760.26
2026-04-10 13:16:56 | 180.11
2026-04-10 13:19:09 | 122.14
2026-04-10 13:20:40 | 86.57
2026-04-10 13:24:34 | 223.09
2026-04-10 13:36:48 | 513.86
